auroc,auprc,accuracy,precision,recall,f1,threshold,pred_pos,domain_pos_rate_gap,domain_pos_rate_min,domain_pos_rate_max
0.9925941708890909,0.9963917292527358,0.6430707876370887,0.6430707876370887,1.0,0.7827669902912622,0.0,5015,0.0,1.0,1.0
0.9925941708890909,0.9963917292527358,0.7028913260219342,0.684065351156376,0.9996899224806202,0.8122952884857647,0.01,4713,0.1678463470616257,0.8318435754189945,0.9996899224806202
0.9925941708890909,0.9963917292527358,0.7794616151545364,0.7450844321073329,0.9987596899224807,0.8534711181770005,0.02,4323,0.38311723182192203,0.6156424581005586,0.9987596899224807
0.9925941708890909,0.9963917292527358,0.80518444666002,0.7681297709923665,0.9984496124031008,0.8682755831198598,0.03,4192,0.4554328526265645,0.5430167597765363,0.9984496124031008
0.9925941708890909,0.9963917292527358,0.8257228315054835,0.7879010531471957,0.9975193798449612,0.8804050355774494,0.04,4083,0.513720497163397,0.48379888268156424,0.9975193798449612
0.9925941708890909,0.9963917292527358,0.8462612163509472,0.8087569199798692,0.9965891472868217,0.8929017919155439,0.05,3974,0.5720081417002295,0.4245810055865922,0.9965891472868217
0.9925941708890909,0.9963917292527358,0.866999002991027,0.8311755567063698,0.9953488372093023,0.9058840129815154,0.06,3862,0.6311030271534364,0.3642458100558659,0.9953488372093023
0.9925941708890909,0.9963917292527358,0.8805583250249253,0.8477224576271186,0.9925581395348837,0.9144407941722611,0.07,3776,0.6713290892555541,0.32122905027932963,0.9925581395348837
0.9925941708890909,0.9963917292527358,0.8943170488534397,0.86468200270636,0.9906976744186047,0.9234104046242775,0.08,3695,0.7113680654800572,0.27932960893854747,0.9906976744186047
0.9925941708890909,0.9963917292527358,0.9040877367896311,0.8777533039647577,0.9885271317829457,0.929852705264693,0.09,3632,0.7404824390455156,0.24804469273743016,0.9885271317829457
0.9925941708890909,0.9963917292527358,0.9128614157527418,0.8896031302403578,0.9869767441860465,0.9357636336910187,0.1,3578,0.766306353124594,0.2206703910614525,0.9869767441860465
0.9925941708890909,0.9963917292527358,0.9208374875373878,0.9005665722379603,0.9857364341085272,0.9412287194670614,0.11,3530,0.7896470486336669,0.19608938547486032,0.9857364341085272
0.9925941708890909,0.9963917292527358,0.9266201395812562,0.9082595027150614,0.9854263565891472,0.9452706722189174,0.12,3499,0.8060967476505998,0.1793296089385475,0.9854263565891472
0.9925941708890909,0.9963917292527358,0.9300099700897309,0.9129310344827586,0.9851162790697674,0.9476510067114094,0.13,3480,0.8158425360530076,0.16927374301675976,0.9851162790697674
0.9925941708890909,0.9963917292527358,0.9435692921236292,0.9313782991202346,0.9848062015503876,0.957347400150716,0.14,3410,0.8540799445671473,0.13072625698324022,0.9848062015503876
0.9925941708890909,0.9963917292527358,0.9523429710867398,0.9440809042236764,0.9841860465116279,0.9637164111127979,0.15,3362,0.879158113550734,0.10502793296089385,0.9841860465116279
0.9925941708890909,0.9963917292527358,0.9599202392821535,0.9556962025316456,0.9832558139534884,0.9692801467216873,0.16,3318,0.9011329089255554,0.08212290502793296,0.9832558139534884
0.9925941708890909,0.9963917292527358,0.963110667996012,0.9606060606060606,0.9829457364341085,0.9716475095785441,0.17,3300,0.9103200381100862,0.07262569832402235,0.9829457364341085
0.9925941708890909,0.9963917292527358,0.9635094715852442,0.9611885991510006,0.9829457364341085,0.9719454238847156,0.18,3298,0.9114373565458403,0.07150837988826815,0.9829457364341085
0.9925941708890909,0.9963917292527358,0.9655034895314057,0.9643944004869142,0.9826356589147287,0.9734295807095684,0.19,3286,0.9172725304231086,0.06536312849162011,0.9826356589147287
0.9925941708890909,0.9963917292527358,0.9665004985044865,0.9661482159194876,0.9823255813953489,0.974169741697417,0.2,3279,0.9203144082109913,0.06201117318435754,0.9823255813953489
0.9925941708890909,0.9963917292527358,0.9663010967098704,0.9664224664224664,0.9817054263565892,0.97400399938471,0.21,3276,0.9202529123901088,0.061452513966480445,0.9817054263565892
0.9925941708890909,0.9963917292527358,0.9665004985044865,0.9667175572519084,0.9817054263565892,0.9741538461538461,0.22,3275,0.9208115716079859,0.06089385474860335,0.9817054263565892
0.9925941708890909,0.9963917292527358,0.9666999002991027,0.9672982885085575,0.9813953488372092,0.9742958288440818,0.23,3272,0.9216188125243601,0.05977653631284916,0.9813953488372092
0.9925941708890909,0.9963917292527358,0.967098703888335,0.9681762545899633,0.9810852713178294,0.9745880178653935,0.24,3268,0.9229847126586115,0.05810055865921788,0.9810852713178294
0.9925941708890909,0.9963917292527358,0.9674975074775674,0.9687691365584813,0.9810852713178294,0.9748883068864582,0.25,3266,0.9241020310943657,0.05698324022346369,0.9810852713178294
0.9925941708890909,0.9963917292527358,0.9674975074775674,0.9687691365584813,0.9810852713178294,0.9748883068864582,0.26,3266,0.9241020310943657,0.05698324022346369,0.9810852713178294
0.9925941708890909,0.9963917292527358,0.9674975074775674,0.9687691365584813,0.9810852713178294,0.9748883068864582,0.27,3266,0.9241020310943657,0.05698324022346369,0.9810852713178294
0.9925941708890909,0.9963917292527358,0.9674975074775674,0.9693439607602697,0.9804651162790697,0.9748728225682134,0.28,3262,0.9245991944913603,0.055865921787709494,0.9804651162790697
0.9925941708890909,0.9963917292527358,0.9678963110667996,0.9699386503067484,0.9804651162790697,0.9751734772552043,0.29,3260,0.9257165129271144,0.054748603351955305,0.9804651162790697
0.9925941708890909,0.9963917292527358,0.9674975074775674,0.9707872078720787,0.9789147286821706,0.9748340280994288,0.3,3252,0.9258421029838465,0.05307262569832402,0.9789147286821706
