age_decade,n,mean_proba,ci_low,ci_high
20s,132,0.058042178633766345,0.04660038065844237,0.07045717486117561
30s,167,0.09790613458189086,0.07714000672769689,0.12337416366458642
40s,168,0.13759438257154577,0.1084788988564544,0.17175528960242317
50s,188,0.16340755186418432,0.1259522988480879,0.19518983296957554
60s,281,0.13654362094603142,0.11597477601121545,0.16265767058384273
70s,163,0.14890940894902113,0.11890442335991384,0.1770500058633002
80s+,75,0.04633965141247843,0.03387088669257529,0.059436552068190124
