feature,importance_mean,importance_std
ethnicity,0.21666288815903786,0.004656238873564576
age_years,0.023992607980122965,0.0014786200052224704
race,0.00860816862744025,0.0005665363524741111
height_last,0.005115400676607665,0.0006345213896581236
weight_last,0.002401075683930301,0.000326284126810445
sex,0.000315802738389645,8.381073192712598e-05
bmi_last,1.9652171566129915e-05,0.00021505250433591618
