threshold,precision,recall,f1,accuracy,tp,fp,tn,fn
0.0,0.13499308437067772,1.0,0.23787472581038266,0.13499308437067772,488,3127,0,0
0.01,0.2124283825473777,0.9877049180327869,0.34965542256075444,0.5040110650069156,482,1787,1340,6
0.02,0.28320194057004244,0.9569672131147541,0.43706130088909684,0.6672199170124481,467,1182,1945,21
0.03,0.3481254781943382,0.9323770491803278,0.5069637883008357,0.7551867219917012,455,852,2275,33
0.04,0.4108455882352941,0.9159836065573771,0.567258883248731,0.8113416320885201,447,641,2486,41
0.05,0.46673706441393875,0.9057377049180327,0.61602787456446,0.8475795297372061,442,505,2622,46
0.06,0.5282791817087846,0.8995901639344263,0.66565579984837,0.8780082987551867,439,392,2735,49
0.07,0.5653298835705045,0.8954918032786885,0.6931007137192704,0.8929460580912864,437,336,2791,51
0.08,0.5939643347050755,0.8872950819672131,0.7115858668857847,0.9029045643153527,433,296,2831,55
0.09,0.6338235294117647,0.8831967213114754,0.738013698630137,0.9153526970954357,431,249,2878,57
0.1,0.6739811912225705,0.8811475409836066,0.7637655417406749,0.926417704011065,430,208,2919,58
0.11,0.7044334975369458,0.8790983606557377,0.7821330902461258,0.9338865836791148,429,180,2947,59
0.12,0.7319587628865979,0.8729508196721312,0.7962616822429907,0.9396957123098202,426,156,2971,62
0.13,0.7447552447552448,0.8729508196721312,0.8037735849056604,0.9424619640387275,426,146,2981,62
0.14,0.7620751341681574,0.8729508196721312,0.8137535816618912,0.946058091286307,426,133,2994,62
0.15,0.7798165137614679,0.8709016393442623,0.8228460793804453,0.9493775933609958,425,120,3007,63
0.16,0.7921348314606742,0.8668032786885246,0.8277886497064579,0.9513139695712309,423,111,3016,65
0.17,0.8022813688212928,0.8647540983606558,0.8323471400394478,0.9529737206085753,422,104,3023,66
0.18,0.8155339805825242,0.860655737704918,0.8374875373878365,0.9549100968188106,420,95,3032,68
0.19,0.8333333333333334,0.860655737704918,0.8467741935483871,0.9579529737206086,420,84,3043,68
0.2,0.8467741935483871,0.860655737704918,0.8536585365853658,0.9601659751037345,420,76,3051,68
0.21,0.8536585365853658,0.860655737704918,0.8571428571428571,0.9612724757952974,420,72,3055,68
0.22,0.8765690376569037,0.8586065573770492,0.8674948240165632,0.9645919778699862,419,59,3068,69
0.23,0.885593220338983,0.8565573770491803,0.8708333333333333,0.9656984785615491,418,54,3073,70
0.24,0.8931623931623932,0.8565573770491803,0.8744769874476988,0.966804979253112,418,50,3077,70
0.25,0.9028077753779697,0.8565573770491803,0.879074658254469,0.9681881051175657,418,45,3082,70
0.26,0.9047619047619048,0.8565573770491803,0.88,0.9684647302904564,418,44,3083,70
0.27,0.9106753812636166,0.8565573770491803,0.8827877507919747,0.9692946058091286,418,41,3086,70
0.28,0.9122807017543859,0.8524590163934426,0.8813559322033898,0.9690179806362379,416,40,3087,72
