group,n,accuracy,precision,recall,f1,auroc,auprc
Unknown,18,1.0,1.0,1.0,1.0,,1.0
american indian or alaska native,1,1.0,1.0,1.0,1.0,,1.0
asian,466,0.9871244635193133,1.0,0.7,0.8235294117647058,0.9292600896860986,0.7871153075827432
black or african american,992,0.9818548387096774,0.9487179487179487,0.6981132075471698,0.8043478260869565,0.9116281873530653,0.7786007185828759
not reported,220,1.0,1.0,1.0,1.0,,0.9999999999999999
other,187,1.0,0.0,0.0,0.0,,0.0
white,1731,0.9607163489312536,0.9153846153846154,0.6761363636363636,0.7777777777777778,0.9032081262788657,0.7921414912304282
