threshold,precision,recall,f1,accuracy
0.0,0.13475373547315994,1.0,0.23750304803706412,0.13475373547315994
0.01,0.2149574563367667,0.9856262833675564,0.35294117647058826,0.51300498063088
0.02,0.28809376927822333,0.9589322381930184,0.4430740037950664,0.6751521859435529
0.03,0.3622730860299921,0.9425051334702259,0.5233751425313569,0.7686773657996679
0.04,0.42938388625592416,0.9301848049281314,0.5875486381322957,0.8240177089097952
0.05,0.48220064724919093,0.917864476386037,0.6322489391796322,0.8561151079136691
0.06,0.5358444714459295,0.9055441478439425,0.6732824427480916,0.8815716657443277
0.07,0.5892617449664429,0.9014373716632443,0.7126623376623377,0.9020475926950747
0.08,0.630057803468208,0.8952772073921971,0.73960983884648,0.9150525733259546
0.09,0.664624808575804,0.891170431211499,0.7614035087719299,0.9247371333702269
0.1,0.7024390243902439,0.8870636550308009,0.7840290381125227,0.9341449916989485
0.11,0.7465277777777778,0.8829568788501027,0.8090310442144873,0.9438295517432208
0.12,0.7759562841530054,0.8747433264887063,0.8223938223938224,0.9490868843386829
0.13,0.7895716945996276,0.8706365503080082,0.828125,0.951300498063088
0.14,0.8045977011494253,0.8624229979466119,0.8325074331020813,0.9532374100719424
0.15,0.8210735586481114,0.8480492813141683,0.8343434343434344,0.9546209186496957
0.16,0.8373983739837398,0.8459958932238193,0.8416751787538305,0.9571112340896514
0.17,0.8391038696537678,0.8459958932238193,0.8425357873210634,0.957387935805202
0.18,0.8512396694214877,0.8459958932238193,0.8486096807415036,0.9593248478140565
0.19,0.860125260960334,0.8459958932238193,0.8530020703933747,0.9607083563918096
0.2,0.8710359408033826,0.8459958932238193,0.8583333333333333,0.9623685666851135
0.21,0.8782051282051282,0.8439425051334702,0.8607329842931937,0.9631986718317653
0.22,0.880085653104925,0.8439425051334702,0.8616352201257862,0.9634753735473159
0.23,0.8838709677419355,0.8439425051334702,0.8634453781512605,0.9640287769784173
0.24,0.8954248366013072,0.8439425051334702,0.86892177589852,0.965688987271721
0.25,0.8971553610503282,0.8418891170431212,0.8686440677966102,0.965688987271721
0.26,0.8969298245614035,0.839835728952772,0.8674443266171792,0.9654122855561704
0.27,0.9008810572687225,0.839835728952772,0.869287991498406,0.9659656889872718
0.28,0.9028697571743929,0.839835728952772,0.8702127659574468,0.9662423907028224
0.29,0.9048672566371682,0.839835728952772,0.8711395101171459,0.966519092418373
0.3,0.910913140311804,0.839835728952772,0.8739316239316239,0.9673491975650249
0.31,0.9170403587443946,0.839835728952772,0.8767416934619507,0.9681793027116768
0.32,0.9191011235955057,0.839835728952772,0.8776824034334764,0.9684560044272275
0.33,0.9253393665158371,0.839835728952772,0.8805166846071044,0.9692861095738794
0.34,0.9316628701594533,0.839835728952772,0.8833693304535637,0.9701162147205312
0.35000000000000003,0.9359267734553776,0.839835728952772,0.8852813852813853,0.9706696181516326
0.36,0.9400921658986175,0.837782340862423,0.8859934853420195,0.9709463198671832
0.37,0.9444444444444444,0.837782340862423,0.8879216539717084,0.9714997232982845
0.38,0.9444444444444444,0.837782340862423,0.8879216539717084,0.9714997232982845
0.39,0.9444444444444444,0.837782340862423,0.8879216539717084,0.9714997232982845
0.4,0.9488372093023256,0.837782340862423,0.8898582333696837,0.9720531267293857
0.41000000000000003,0.9487179487179487,0.8357289527720739,0.888646288209607,0.9717764250138351
0.42,0.9487179487179487,0.8357289527720739,0.888646288209607,0.9717764250138351
0.43,0.9530516431924883,0.8336755646817249,0.8893756845564075,0.9720531267293857
0.44,0.9530516431924883,0.8336755646817249,0.8893756845564075,0.9720531267293857
0.45,0.9574468085106383,0.8316221765913757,0.8901098901098901,0.9723298284449363
0.46,0.9596199524940617,0.8295687885010267,0.8898678414096917,0.9723298284449363
0.47000000000000003,0.964200477326969,0.8295687885010267,0.891832229580574,0.9728832318760376
0.48,0.9665071770334929,0.8295687885010267,0.8928176795580111,0.9731599335915883
0.49,0.9665071770334929,0.8295687885010267,0.8928176795580111,0.9731599335915883
0.5,0.9686746987951808,0.8254620123203286,0.8913525498891353,0.9728832318760376
0.51,0.9710144927536232,0.8254620123203286,0.8923418423973363,0.9731599335915883
0.52,0.9710144927536232,0.8254620123203286,0.8923418423973363,0.9731599335915883
0.53,0.9733009708737864,0.8234086242299795,0.8921023359288098,0.9731599335915883
0.54,0.975669099756691,0.8234086242299795,0.8930957683741648,0.9734366353071389
0.55,0.975669099756691,0.8234086242299795,0.8930957683741648,0.9734366353071389
0.56,0.980440097799511,0.8234086242299795,0.8950892857142857,0.9739900387382402
0.5700000000000001,0.9827586206896551,0.8193018480492813,0.8936170212765957,0.9737133370226896
0.58,0.9875621890547264,0.8151950718685832,0.8931383577052868,0.9737133370226896
0.59,0.9875621890547264,0.8151950718685832,0.8931383577052868,0.9737133370226896
0.6,0.9899749373433584,0.811088295687885,0.891647855530474,0.9734366353071389
0.61,0.9924433249370277,0.8090349075975359,0.8914027149321267,0.9734366353071389
0.62,0.9949109414758269,0.8028747433264887,0.8886363636363637,0.9728832318760376
0.63,0.9948717948717949,0.7967145790554415,0.8848346636259977,0.9720531267293857
0.64,0.9948453608247423,0.7926078028747433,0.8822857142857143,0.9714997232982845
0.65,0.9948051948051948,0.7864476386036962,0.8784403669724771,0.9706696181516326
0.66,0.9947643979057592,0.7802874743326489,0.8745684695051784,0.9698395130049806
0.67,0.9973544973544973,0.7741273100616016,0.8716763005780347,0.9692861095738794
0.68,0.9973118279569892,0.7618069815195072,0.8637951105937136,0.9676258992805755
0.6900000000000001,1.0,0.7515400410677618,0.8581477139507621,0.966519092418373
0.7000000000000001,1.0,0.7453798767967146,0.8541176470588235,0.965688987271721
0.71,1.0,0.728952772073922,0.8432304038004751,0.9634753735473159
0.72,1.0,0.7104722792607803,0.8307322929171669,0.9609850581073602
0.73,1.0,0.704312114989733,0.8265060240963855,0.9601549529607084
0.74,1.0,0.6940451745379876,0.8193939393939393,0.9587714443829551
0.75,1.0,0.6776180698151951,0.8078335373317014,0.95655783065855
0.76,1.0,0.6735112936344969,0.8049079754601227,0.9560044272274488
0.77,1.0,0.6652977412731006,0.7990135635018496,0.9548976203652463
0.78,1.0,0.6611909650924025,0.796044499381953,0.954344216934145
0.79,1.0,0.6550308008213552,0.7915632754342432,0.9535141117874931
0.8,1.0,0.6468172484599589,0.7855361596009975,0.9524073049252906
0.81,1.0,0.6386036960985626,0.7794486215538847,0.951300498063088
0.8200000000000001,1.0,0.62217659137577,0.7670886075949367,0.9490868843386829
0.8300000000000001,1.0,0.6078028747433265,0.756066411238825,0.9471499723298284
0.84,1.0,0.5934291581108829,0.7448453608247423,0.945213060320974
0.85,1.0,0.5893223819301848,0.7416020671834626,0.9446596568898727
0.86,1.0,0.5770020533880903,0.7317708333333334,0.9429994465965689
0.87,1.0,0.5708418891170431,0.726797385620915,0.942169341449917
0.88,1.0,0.5646817248459959,0.7217847769028871,0.9413392363032651
0.89,1.0,0.5564681724845996,0.7150395778364116,0.9402324294410626
0.9,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.91,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.92,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.93,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.9400000000000001,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.9500000000000001,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.96,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.97,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.98,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.99,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
1.0,0.0,0.0,0.0,0.8652462645268401
