threshold,precision,recall,f1,accuracy
0.0,0.13475373547315994,1.0,0.23750304803706412,0.13475373547315994
0.01,0.13942170054394504,1.0,0.24472361809045226,0.16823464305478694
0.02,0.14169333721268548,1.0,0.24821610601427116,0.18372993912562258
0.03,0.14315108759553205,1.0,0.2504499871432245,0.19341449916989487
0.04,0.14447086801426873,0.997946611909651,0.2524019735133731,0.20337576092971776
0.05,0.14639299728342892,0.9958932238193019,0.25526315789473686,0.21693414499169894
0.06,0.14825046040515655,0.9917864476386037,0.25794392523364484,0.23104593248478142
0.07,0.1512683996241779,0.9917864476386037,0.2625,0.24903154399557278
0.08,0.15503377291733678,0.9897330595482546,0.26807563959955505,0.271721084670725
0.09,0.1586048042119118,0.9897330595482546,0.2733976176971072,0.2910902047592695
0.1,0.16243654822335024,0.9856262833675564,0.2789076118535735,0.31322634200332045
0.11,0.16836197825324448,0.9856262833675564,0.28759736369083283,0.3420033204205866
0.12,0.1723764875586008,0.9815195071868583,0.29325153374233126,0.3624792473713337
0.13,0.17750373692077728,0.9753593429158111,0.30034777110338284,0.3876591034864416
0.14,0.18329466357308585,0.973305954825462,0.30849332899446796,0.4120088544548976
0.15,0.1882494004796163,0.9671457905544147,0.3151555704248913,0.43359158826784727
0.16,0.19541666666666666,0.9630390143737166,0.32490474541046066,0.4607083563918096
0.17,0.2014636246233319,0.9609856262833676,0.3330960854092527,0.48146098505810736
0.18,0.20859444941808417,0.9568788501026694,0.34252113193678796,0.5049806308799114
0.19,0.21385681293302541,0.9507186858316222,0.3491704374057315,0.5224128389596016
0.2,0.22137038811691423,0.9486652977412731,0.358974358974359,0.54344216934145
0.21,0.228287841191067,0.944558521560575,0.3677058353317346,0.5622578859988931
0.22,0.23377960865087538,0.9322381930184805,0.3738163853437629,0.579136690647482
0.23,0.24234282643739924,0.9260780287474333,0.3841567291311755,0.5998893193137798
0.24,0.25027995520716684,0.917864476386037,0.39331280246370437,0.6184283342556723
0.25,0.2563953488372093,0.9055441478439425,0.39963751699139105,0.6333702268954068
0.26,0.26353790613718414,0.8993839835728953,0.4076314564913913,0.6477587161040399
0.27,0.2701863354037267,0.893223819301848,0.41487839771101576,0.6604869950193691
0.28,0.27588424437299036,0.8809034907597536,0.4201762977473066,0.6723851687880464
0.29,0.28268082282680823,0.8747433264887063,0.4272818455366098,0.6840066408411732
0.3,0.2907458563535912,0.864476386036961,0.4351421188630491,0.6975650249031544
0.31,0.2984330484330484,0.8603696098562629,0.44315177154944474,0.7086330935251799
0.32,0.3050847457627119,0.8501026694045175,0.4490238611713666,0.7188710570005534
0.33,0.315990818668707,0.8480492813141683,0.4604236343366778,0.732152739346984
0.34,0.3217938630999213,0.839835728952772,0.4653014789533561,0.7399003873824018
0.35000000000000003,0.3330605564648118,0.8357289527720739,0.47630193095377416,0.7523519645821805
0.36,0.34506437768240344,0.8254620123203286,0.48668280871670705,0.7653569452130603
0.37,0.354781054512958,0.8151950718685832,0.4943960149439601,0.7753182069728832
0.38,0.36778398510242083,0.811088295687885,0.5060858424087123,0.7866629773104593
0.39,0.37741312741312744,0.8028747433264887,0.5134602757715037,0.7949640287769785
0.4,0.3897795591182365,0.7987679671457906,0.5239057239057239,0.8043718871057001
0.41000000000000003,0.3987667009249743,0.7967145790554415,0.5315068493150685,0.8107360265633647
0.42,0.4106951871657754,0.7885010266940452,0.540084388185654,0.8190370780298838
0.43,0.42380422691879865,0.7823408624229979,0.5497835497835498,0.8273381294964028
0.44,0.43101482326111745,0.7761806981519507,0.5542521994134897,0.831765356945213
0.45,0.44221698113207547,0.7700205338809035,0.5617977528089888,0.8381294964028777
0.46,0.4481074481074481,0.7535934291581109,0.5620214395099541,0.841726618705036
0.47000000000000003,0.46017699115044247,0.7474332648870636,0.5696400625978091,0.84781405644715
0.48,0.47182175622542594,0.7392197125256673,0.576,0.8533480907581626
0.49,0.4798387096774194,0.7330595482546202,0.5800162469536961,0.856945213060321
0.5,0.4909596662030598,0.7248459958932238,0.5854063018242123,0.8616491422246818
0.51,0.5057971014492754,0.7166324435318275,0.5930331350892099,0.8674598782512452
0.52,0.5171385991058122,0.7125256673511293,0.5993091537132987,0.8716104039845047
0.53,0.5283307810107197,0.7084188911704312,0.6052631578947368,0.8754842280022136
0.54,0.5379746835443038,0.6981519507186859,0.6076854334226989,0.8785279468732706
0.55,0.5479674796747968,0.6919917864476386,0.6116152450090744,0.8815716657443277
0.56,0.5636672325976231,0.6817248459958932,0.6171003717472119,0.8859988931931378
0.5700000000000001,0.5741710296684118,0.675564681724846,0.620754716981132,0.8887659103486442
0.58,0.5934065934065934,0.6652977412731006,0.6272991287512101,0.893469839513005
0.59,0.6129032258064516,0.6632443531827515,0.6370808678500987,0.8981737686773658
0.6,0.6259842519685039,0.6529774127310062,0.6391959798994975,0.9006640841173216
0.61,0.6528925619834711,0.648870636550308,0.650875386199794,0.9061981184283343
0.62,0.6835164835164835,0.6386036960985626,0.6602972399150743,0.9114554510237963
0.63,0.6963470319634704,0.6262833675564682,0.6594594594594595,0.9128389596015495
0.64,0.720763723150358,0.6201232032854209,0.6666666666666666,0.9164360819037078
0.65,0.7525252525252525,0.6119096509240246,0.6749716874292185,0.9205866076369673
0.66,0.7845744680851063,0.6057494866529775,0.6836616454229433,0.9244604316546763
0.67,0.7983651226158038,0.6016427104722792,0.6861826697892272,0.9258439402324294
0.68,0.8248587570621468,0.5995893223819302,0.6944114149821641,0.9288876591034865
0.6900000000000001,0.8601190476190477,0.5934291581108829,0.7023086269744836,0.9322080796900941
0.7000000000000001,0.8878504672897196,0.5852156057494866,0.7054455445544554,0.9341449916989485
0.71,0.9102564102564102,0.5831622176591376,0.7108886107634543,0.936081903707803
0.72,0.9302325581395349,0.5749486652977412,0.7106598984771574,0.9369120088544549
0.73,0.9425675675675675,0.5728952772073922,0.7126436781609196,0.9377421140011069
0.74,0.9584775086505191,0.5687885010266941,0.7139175257731959,0.9385722191477587
0.75,0.9787985865724381,0.5687885010266941,0.7194805194805195,0.9402324294410626
0.76,0.9821428571428571,0.5646817248459959,0.7170795306388527,0.939955727725512
0.77,0.9854545454545455,0.5564681724845996,0.7112860892388452,0.93912562257886
0.78,0.989010989010989,0.5544147843942505,0.7105263157894737,0.93912562257886
0.79,0.9962962962962963,0.5523613963039015,0.7107001321003963,0.9394023242944106
0.8,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.81,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.8200000000000001,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.8300000000000001,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.84,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.85,1.0,0.5523613963039015,0.7116402116402116,0.9396790260099612
0.86,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.87,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.88,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.89,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.9,1.0,0.5503080082135524,0.7099337748344371,0.9394023242944106
0.91,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.92,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.93,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.9400000000000001,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.9500000000000001,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.96,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.97,1.0,0.5482546201232033,0.7082228116710876,0.93912562257886
0.98,1.0,0.5462012320328542,0.7065073041168659,0.9388489208633094
0.99,1.0,0.5359342915811088,0.6978609625668449,0.9374654122855561
1.0,0.0,0.0,0.0,0.8652462645268401
