group,n,accuracy,precision,recall,f1,auroc,auprc
Menos de 20,1,1.0,1.0,1.0,1.0,,1.0
Entre 20-29,554,0.9981949458483754,0.9714285714285714,1.0,0.9855072463768116,1.0,1.0
Entre 30-39,625,0.9936,0.9726027397260274,0.9726027397260274,0.9726027397260274,0.9947141155449672,0.9829843745598787
Entre 40-49,569,0.9736379613356766,0.9726027397260274,0.8452380952380952,0.9044585987261147,0.9515218458517428,0.9170649618830058
Entre 50-59,605,0.9768595041322314,0.9726027397260274,0.8554216867469879,0.9102564102564102,0.9530074320269585,0.9227010669738812
Entre 60-69,647,0.964451313755796,0.9846153846153847,0.7441860465116279,0.847682119205298,0.9003233428678026,0.8363470761568275
Entre 70-79,418,0.9473684210526315,0.958904109589041,0.7865168539325843,0.8641975308641975,0.9417369625354325,0.9061271459946434
80 y mas,194,0.9381443298969072,0.9285714285714286,0.7222222222222222,0.8125,0.8748241912798875,0.8482489997118948
